PLAYER_ID,SEASON,GAME_ID,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,STOV,TEAM_POSS,PLAYER_POSS,OPP_TS,OPP_ADJ_TS,OPP_TSC,OPP_STOV,DRTG,ADJ_DRTG,LA_PACE,rDRTG,rADJ_DRTG
1628983,2025,0042400225,31.0,12,23,1,3,6,6,6,7,2,2,5,4,94.1952,75.3408,0.5720729541,0.5746043171,0.5327630069,0.07378505387,115.1,115.45,95.07,,
1628983,2025,0042400226,32.0,11,16,2,4,8,11,3,6,0,0,2,1,98.9184,75.03359999999999,0.5720729541,0.5746043171,0.5327630069,0.07378505387,115.1,115.45,95.07,,
1628983,2025,0042400227,35.0,12,19,3,4,8,9,3,4,3,1,0,0,83.32799999999999,75.7632,0.5720729541,0.5746043171,0.5327630069,0.07378505387,115.1,115.45,95.07,,
1628983,2025,0042400311,31.0,10,27,0,4,11,14,5,9,3,0,2,1,90.8928,73.61280000000001,0.5636789961,0.5633202914,0.5127260411,0.09937656927,110.8,110.9,95.07,,
1628983,2025,0042400312,38.0,12,21,1,2,13,15,3,8,3,0,1,1,95.5776,84.0576,0.5636789961,0.5633202914,0.5127260411,0.09937656927,110.8,110.9,95.07,,
1628983,2025,0042400313,14.0,4,13,2,5,4,4,2,6,0,1,4,2,73.8432,55.104,0.5636789961,0.5633202914,0.5127260411,0.09937656927,110.8,110.9,95.07,,
1628983,2025,0042400314,40.0,13,30,2,7,12,14,9,10,1,0,5,2,96.2304,78.6432,0.5636789961,0.5633202914,0.5127260411,0.09937656927,110.8,110.9,95.07,,
1628983,2025,0042400315,34.0,14,25,2,4,4,4,7,8,2,0,2,1,89.51039999999999,70.11840000000001,0.5636789961,0.5633202914,0.5127260411,0.09937656927,110.8,110.9,95.07,,
1628983,2025,0042400401,38.0,14,30,3,6,7,8,5,3,3,0,2,2,101.3376,82.29119999999999,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
1628983,2025,0042400402,34.0,11,21,1,4,11,12,5,8,4,1,2,1,90.9696,71.5776,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
1628983,2025,0042400403,24.0,9,20,1,3,5,6,8,4,0,3,6,4,100.032,86.28479999999999,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
1628983,2025,0042400404,35.0,12,24,1,4,10,10,3,0,3,1,2,1,92.8512,73.26719999999999,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
1628983,2025,0042400405,31.0,9,21,0,3,13,14,2,10,2,4,3,2,98.9568,78.72,0.5779203926,0.5766140843,0.5270721119,0.09647310017,113.3,113.35,95.07,,
